Competência;Publicação;Início de Vigência;
set/2023;27/09/2023;01/10/2023;
jul/2023;31/07/2023;01/08/2023;
mai/2023;25/05/2023;01/06/2023;
mar/2023;30/3/2023;1/4/2023;
fev/2023;15/2/2023;15/2/2023;
jan/2023;9/1/2023;9/1/2023;
nov/2022;30/11/2022;1/12/2022;
set/2022;30/9/2022;1/10/2022;
jul/2022;29/7/2022;1/8/2022;
mai/2022;31/5/2022;1/6/2022;
mar/2022;31/3/2022;1/4/2022;
fev/2022;24/2/2022;1/3/2022;
jan/2022;31/1/2022;1/2/2022;
nov/2021;30/11/2021;1/12/2021;
ago/2021;31/8/2021;1/8/2021;
jul/2021;31/7/2021;1/8/2021;
jun/2021;30/6/2021;1/7/2021;
abr/2021;30/4/2021;1/5/2021;
mar/2021;25/3/2021;1/4/2021;
fev/2021;26/2/2021;1/3/2021;
dez/2020;17/12/2020;1/1/2021;
out/2020;29/10/2020;1/11/2020;
ago/2020;19/8/2020;19/8/2020;
jun/2020;30/6/2020;1/7/2020;
mai/2020;29/5/2020;1/6/2020;
abr/2020;3/4/2020;3/4/2020;
mar/2020;13/3/2020;13/3/2020;
dez/2019;31/12/2019;1/1/2020;
set/2019;30/9/2019;1/10/2019;
jul/2019;26/7/2019;1/8/2019;
mai/2019;31/5/2019;1/6/2019;
fev/2019;28/2/2019;1/3/2019;
dez/2017;28/12/2017;1/1/2018;
abr/2017;10/4/2017;10/4/2017;
set/2016;30/9/2016;1/10/2016;
jun/2016;10/6/2016;13/6/2016;
mai/2016;30/5/2016;1/6/2016;
abr/2016;18/4/2016;1/5/2016;
set/2023;27/09/2023;01/10/2023;
jul/2023;31/07/2023;01/08/2023;
mai/2023;25/05/2023;01/06/2023;
mar/2023;30/3/2023;1/4/2023;
fev/2023;15/2/2023;15/2/2023;
jan/2023;9/1/2023;9/1/2023;
nov/2022;30/11/2022;1/12/2022;
set/2022;30/9/2022;1/10/2022;
jul/2022;29/7/2022;1/8/2022;
mai/2022;31/5/2022;1/6/2022;
mar/2022;31/3/2022;1/4/2022;
fev/2022;24/2/2022;1/3/2022;
jan/2022;31/1/2022;1/2/2022;
nov/2021;30/11/2021;1/12/2021;
ago/2021;31/8/2021;1/8/2021;
jul/2021;31/7/2021;1/8/2021;
jun/2021;30/6/2021;1/7/2021;
abr/2021;30/4/2021;1/5/2021;
mar/2021;25/3/2021;1/4/2021;
fev/2021;26/2/2021;1/3/2021;
dez/2020;17/12/2020;1/1/2021;
out/2020;29/10/2020;1/11/2020;
ago/2020;19/8/2020;19/8/2020;
jun/2020;30/6/2020;1/7/2020;
mai/2020;29/5/2020;1/6/2020;
abr/2020;3/4/2020;3/4/2020;
mar/2020;13/3/2020;13/3/2020;
dez/2019;31/12/2019;1/1/2020;
set/2019;30/9/2019;1/10/2019;
jul/2019;26/7/2019;1/8/2019;
mai/2019;31/5/2019;1/6/2019;
fev/2019;28/2/2019;1/3/2019;
dez/2017;28/12/2017;1/1/2018;
abr/2017;10/4/2017;10/4/2017;
set/2016;30/9/2016;1/10/2016;
jun/2016;10/6/2016;13/6/2016;
mai/2016;30/5/2016;1/6/2016;
abr/2016;18/4/2016;1/5/2016;
set/2023;27/09/2023;01/10/2023;
jul/2023;31/07/2023;01/08/2023;
mai/2023;25/05/2023;01/06/2023;
mar/2023;30/3/2023;1/4/2023;
fev/2023;15/2/2023;15/2/2023;
jan/2023;9/1/2023;9/1/2023;
nov/2022;30/11/2022;1/12/2022;
set/2022;30/9/2022;1/10/2022;
jul/2022;29/7/2022;1/8/2022;
mai/2022;31/5/2022;1/6/2022;
mar/2022;31/3/2022;1/4/2022;
fev/2022;24/2/2022;1/3/2022;
jan/2022;31/1/2022;1/2/2022;
nov/2021;30/11/2021;1/12/2021;
ago/2021;31/8/2021;1/8/2021;
jul/2021;31/7/2021;1/8/2021;
jun/2021;30/6/2021;1/7/2021;
abr/2021;30/4/2021;1/5/2021;
mar/2021;25/3/2021;1/4/2021;
fev/2021;26/2/2021;1/3/2021;
dez/2020;17/12/2020;1/1/2021;
out/2020;29/10/2020;1/11/2020;
ago/2020;19/8/2020;19/8/2020;
jun/2020;30/6/2020;1/7/2020;
mai/2020;29/5/2020;1/6/2020;
abr/2020;3/4/2020;3/4/2020;
mar/2020;13/3/2020;13/3/2020;
dez/2019;31/12/2019;1/1/2020;
set/2019;30/9/2019;1/10/2019;
jul/2019;26/7/2019;1/8/2019;
mai/2019;31/5/2019;1/6/2019;
fev/2019;28/2/2019;1/3/2019;
dez/2017;28/12/2017;1/1/2018;
abr/2017;10/4/2017;10/4/2017;
set/2016;30/9/2016;1/10/2016;
jun/2016;10/6/2016;13/6/2016;
mai/2016;30/5/2016;1/6/2016;
abr/2016;18/4/2016;1/5/2016;
